"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh"
"1",731700000,66955,"Pirmasens",1500,2003-11-03,"E301610166955AAAD1001086600000000",2564071
"2",733307078,67823,"Unkenbach",1000,2000-08-22,"E30254010000000000005230787201686",1522175
"3",733511031,66851,"Oberarnbach",1000,1999-10-27,"E30254010000000000005230787301688",1661355
"4",733511031,66851,"Oberarnbach",1000,2001-12-31,"E30254010000000000005230787301689",1661355
"5",733511031,66851,"Oberarnbach",1000,2000-05-29,"E30254010000000000005230787306704",1661355
"6",734003053,66957,"Vinningen",1650,2001-07-25,"E30254010000000000005230787601693",1691972
"7",734003053,66957,"Vinningen",1650,2000-12-07,"E30254010000000000005230787601694",1691974
"8",734003053,66957,"Vinningen",1650,2000-12-06,"E30254010000000000005230787606677",1691974
"9",733510029,67700,"Niederkirchen",500,2000-11-23,"E30254010000000000005230787721589",854567
"10",733207044,67311,"Tiefenthal",1800,2001-09-21,"E30254010000000000005230788001702",3421693
"11",733207044,67311,"Tiefenthal",1800,2001-09-19,"E30254010000000000005230788004100",3272827
"12",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101704",766586
"13",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101705",766586
"14",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788104101",766584
"15",734009216,66894,"Krähenberg",660,2001-09-06,"E30254010000000000005230788206674",928377
"16",734009055,66919,"Weselberg",1800,2002-06-27,"E30254010000000000005230788301708",2853255
"17",734009055,66919,"Weselberg",1380,2002-06-04,"E30254010000000000005230788301709",2187494
"18",734009055,66919,"Weselberg",1800,2002-01-15,"E30254010000000000005230788306675",2853253
"19",733608087,67753,"Rothselberg",1600,2003-12-19,"E30254010000000000005230788501717",2941556
"20",733207029,67271,"Kindenheim",1800,2003-07-24,"E30254010000000000005230788601719",2503745
"21",733207029,67271,"Kindenheim",1800,2003-07-17,"E30254010000000000005230788601720",2503745
"22",733207029,67271,"Kindenheim",1800,2003-07-30,"E30254010000000000005230788607050",2503747
