"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"1",731700000,66955,"Pirmasens",1500,2003-11-03,"E301610166955AAAD1001086600000000",2564071,1709.38066666667,2564
"2",733307078,67823,"Unkenbach",1000,2000-08-22,"E30254010000000000005230787201686",1522175,1522.175,1522
"3",733511031,66851,"Oberarnbach",1000,1999-10-27,"E30254010000000000005230787301688",1661355,1661.355,1661
"4",733511031,66851,"Oberarnbach",1000,2001-12-31,"E30254010000000000005230787301689",1661355,1661.355,1661
"5",733511031,66851,"Oberarnbach",1000,2000-05-29,"E30254010000000000005230787306704",1661355,1661.355,1661
"6",734003053,66957,"Vinningen",1650,2001-07-25,"E30254010000000000005230787601693",1691972,1025.43757575758,1692
"7",734003053,66957,"Vinningen",1650,2000-12-07,"E30254010000000000005230787601694",1691974,1025.43878787879,1692
"8",734003053,66957,"Vinningen",1650,2000-12-06,"E30254010000000000005230787606677",1691974,1025.43878787879,1692
"9",733510029,67700,"Niederkirchen",500,2000-11-23,"E30254010000000000005230787721589",854567,1709.134,855
"10",733207044,67311,"Tiefenthal",1800,2001-09-21,"E30254010000000000005230788001702",3421693,1900.94055555556,3422
"11",733207044,67311,"Tiefenthal",1800,2001-09-19,"E30254010000000000005230788004100",3272827,1818.23722222222,3273
"12",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101704",766586,1277.64333333333,767
"13",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101705",766586,1277.64333333333,767
"14",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788104101",766584,1277.64,767
"15",734009216,66894,"Krähenberg",660,2001-09-06,"E30254010000000000005230788206674",928377,1406.63181818182,928
"16",734009055,66919,"Weselberg",1800,2002-06-27,"E30254010000000000005230788301708",2853255,1585.14166666667,2853
"17",734009055,66919,"Weselberg",1380,2002-06-04,"E30254010000000000005230788301709",2187494,1585.14057971014,2187
"18",734009055,66919,"Weselberg",1800,2002-01-15,"E30254010000000000005230788306675",2853253,1585.14055555556,2853
"19",733608087,67753,"Rothselberg",1600,2003-12-19,"E30254010000000000005230788501717",2941556,1838.4725,2942
"20",733207029,67271,"Kindenheim",1800,2003-07-24,"E30254010000000000005230788601719",2503745,1390.96944444444,2504
"21",733207029,67271,"Kindenheim",1800,2003-07-17,"E30254010000000000005230788601720",2503745,1390.96944444444,2504
"22",733207029,67271,"Kindenheim",1800,2003-07-30,"E30254010000000000005230788607050",2503747,1390.97055555556,2504
"23",733511037,66851,"Queidersbach",2000,2002-06-12,"E30254010000000000005230788701721",3332176,1666.088,3332
"24",733207029,67271,"Kindenheim",1500,2000-10-01,"E30254010000000000005230789142762",916947,611.298,917
"25",733401001,76756,"Bellheim",1500,2003-12-21,"E30254010000000000005230789301729",2404726,1603.15066666667,2405
"26",733401001,76756,"Bellheim",1500,2003-12-21,"E30254010000000000005230789301730",2404726,1603.15066666667,2405
"27",733401001,76756,"Bellheim",1500,2003-12-17,"E30254010000000000005230789306702",2404724,1603.14933333333,2405
"28",733510033,67737,"Olsbrücken",1800,2004-07-16,"E30254010000000000005230789401732",1985386,1102.99222222222,1985
