"","gem","plz","ort","leistung","inbetriebnahme","eiccode","bnetznr","anlagenschluessel","menge_kwh"
"1",731700000,66955,"Pirmasens",1500,2003-11-03,"11YR000000038602",10000161,"E301610166955AAAD1001086600000000",2932902
"2",733307078,67823,"Unkenbach",1000,2000-08-22,"11YR00000001555H",10002992,"E30254010000000000005230787201686",1515606
"3",733511031,66851,"Oberarnbach",1000,1999-10-27,"11YR00000001555H",10002992,"E30254010000000000005230787301688",1690809
"4",733511031,66851,"Oberarnbach",1000,2001-12-31,"11YR00000001555H",10002992,"E30254010000000000005230787301689",1690811
"5",733511031,66851,"Oberarnbach",1000,2000-05-29,"11YR00000001555H",10002992,"E30254010000000000005230787306704",1690811
"6",734003053,66957,"Vinningen",1650,2001-07-25,"11YR00000001555H",10002992,"E30254010000000000005230787601693",1286879
"7",734003053,66957,"Vinningen",1650,2000-12-06,"11YR00000001555H",10002992,"E30254010000000000005230787606677",1286882
"8",733510029,67700,"Niederkirchen",500,2000-11-23,"11YR00000001555H",10002992,"E30254010000000000005230787721589",898278
"9",733207044,67311,"Tiefenthal",1800,2001-09-21,"11YR00000001555H",10002992,"E30254010000000000005230788001702",3254568
"10",733207044,67311,"Tiefenthal",1800,2001-09-19,"11YR00000001555H",10002992,"E30254010000000000005230788004100",3112976
"11",713301030,67824,"Feilbingert",600,2001-07-09,"11YR00000001555H",10002992,"E30254010000000000005230788101704",732484
"12",713301030,67824,"Feilbingert",600,2001-07-09,"11YR00000001555H",10002992,"E30254010000000000005230788101705",732484
"13",713301030,67824,"Feilbingert",600,2001-07-09,"11YR00000001555H",10002992,"E30254010000000000005230788104101",732480
"14",734009216,66894,"Krähenberg",660,2001-09-06,"11YR00000001555H",10002992,"E30254010000000000005230788206674",993959
"15",734009055,66919,"Weselberg",1800,2002-06-27,"11YR00000001555H",10002992,"E30254010000000000005230788301708",3170562
"16",734009055,66919,"Weselberg",1380,2002-06-04,"11YR00000001555H",10002992,"E30254010000000000005230788301709",2445573
"17",734009055,66919,"Weselberg",1800,2002-01-15,"11YR00000001555H",10002992,"E30254010000000000005230788306675",3170560
"18",733608087,67753,"Rothselberg",1600,2003-12-19,"11YR00000001555H",10002992,"E30254010000000000005230788501717",1073544
"19",733207029,67271,"Kindenheim",1800,2003-07-24,"11YR00000001555H",10002992,"E30254010000000000005230788601719",2518435
