"","gem","plz","ort","leistung","inbetriebnahme","eiccode","bnetznr","anlagenschluessel","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"1",731700000,66955,"Pirmasens",1500,2003-11-03,"11YR000000038602",10000161,"E301610166955AAAD1001086600000000",2932902,7317,"Pirmasens",1955.268,2933,"731700","Pirmasens"
"2",733307078,67823,"Unkenbach",1000,2000-08-22,"11YR00000001555H",10002992,"E30254010000000000005230787201686",1515606,7333,"Donnersbergkreis",1515.606,1516,"733307","Nordpf?lzer Land"
"3",733511031,66851,"Oberarnbach",1000,1999-10-27,"11YR00000001555H",10002992,"E30254010000000000005230787301688",1690809,7335,"Kaiserslautern",1690.809,1691,"733511","Landstuhl"
"4",733511031,66851,"Oberarnbach",1000,2001-12-31,"11YR00000001555H",10002992,"E30254010000000000005230787301689",1690811,7335,"Kaiserslautern",1690.811,1691,"733511","Landstuhl"
"5",733511031,66851,"Oberarnbach",1000,2000-05-29,"11YR00000001555H",10002992,"E30254010000000000005230787306704",1690811,7335,"Kaiserslautern",1690.811,1691,"733511","Landstuhl"
"6",734003053,66957,"Vinningen",1650,2001-07-25,"11YR00000001555H",10002992,"E30254010000000000005230787601693",1286879,7340,"S?dwestpfalz",779.926666666667,1287,"734003","Pirmasens Land"
"7",734003053,66957,"Vinningen",1650,2000-12-06,"11YR00000001555H",10002992,"E30254010000000000005230787606677",1286882,7340,"S?dwestpfalz",779.928484848485,1287,"734003","Pirmasens Land"
"8",733510029,67700,"Niederkirchen",500,2000-11-23,"11YR00000001555H",10002992,"E30254010000000000005230787721589",898278,7335,"Kaiserslautern",1796.556,898,"733510","Otterbach-Otterberg"
"9",733207044,67311,"Tiefenthal",1800,2001-09-21,"11YR00000001555H",10002992,"E30254010000000000005230788001702",3254568,7332,"Bad D?rkheim",1808.09333333333,3255,"733207","Leiningerland"
"10",733207044,67311,"Tiefenthal",1800,2001-09-19,"11YR00000001555H",10002992,"E30254010000000000005230788004100",3112976,7332,"Bad D?rkheim",1729.43111111111,3113,"733207","Leiningerland"
"11",713301030,67824,"Feilbingert",600,2001-07-09,"11YR00000001555H",10002992,"E30254010000000000005230788101704",732484,7133,"Bad Kreuznach",1220.80666666667,732,"713301","Bad Kreuznach"
"12",713301030,67824,"Feilbingert",600,2001-07-09,"11YR00000001555H",10002992,"E30254010000000000005230788101705",732484,7133,"Bad Kreuznach",1220.80666666667,732,"713301","Bad Kreuznach"
"13",713301030,67824,"Feilbingert",600,2001-07-09,"11YR00000001555H",10002992,"E30254010000000000005230788104101",732480,7133,"Bad Kreuznach",1220.8,732,"713301","Bad Kreuznach"
"14",734009216,66894,"Krähenberg",660,2001-09-06,"11YR00000001555H",10002992,"E30254010000000000005230788206674",993959,7340,"S?dwestpfalz",1505.99848484848,994,"734009","Thaleischweiler-Wallhalben"
"15",734009055,66919,"Weselberg",1800,2002-06-27,"11YR00000001555H",10002992,"E30254010000000000005230788301708",3170562,7340,"S?dwestpfalz",1761.42333333333,3171,"734009","Thaleischweiler-Wallhalben"
