"","gem","plz","ort","leistung","inbetriebnahme","eiccode","bnetznr","anlagenschluessel","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"2",733307078,67823,"Unkenbach",1000,2000-08-22,"11YR00000001555H",10002992,"E30254010000000000005230787201686",1515606,7333,"Donnersbergkreis",1515.606,1516,"733307","Nordpf?lzer Land"
"3",733511031,66851,"Oberarnbach",1000,1999-10-27,"11YR00000001555H",10002992,"E30254010000000000005230787301688",1690809,7335,"Kaiserslautern",1690.809,1691,"733511","Landstuhl"
"5",733511031,66851,"Oberarnbach",1000,2000-05-29,"11YR00000001555H",10002992,"E30254010000000000005230787306704",1690811,7335,"Kaiserslautern",1690.811,1691,"733511","Landstuhl"
"7",734003053,66957,"Vinningen",1650,2000-12-06,"11YR00000001555H",10002992,"E30254010000000000005230787606677",1286882,7340,"S?dwestpfalz",779.928484848485,1287,"734003","Pirmasens Land"
"8",733510029,67700,"Niederkirchen",500,2000-11-23,"11YR00000001555H",10002992,"E30254010000000000005230787721589",898278,7335,"Kaiserslautern",1796.556,898,"733510","Otterbach-Otterberg"
"70",733307008,67806,"Bisterschied",1500,2000-04-10,"11YR00000001555H",10002992,"E30254010000000000005230822702034",1975377,7333,"Donnersbergkreis",1316.918,1975,"733307","Nordpf?lzer Land"
"71",733307008,67806,"Bisterschied",500,1999-11-04,"11YR00000001555H",10002992,"E30254010000000000005230822707035",742214,7333,"Donnersbergkreis",1484.428,742,"733307","Nordpf?lzer Land"
"72",733501203,66894,"Martinshöhe",1000,2000-12-28,"11YR00000001555H",10002992,"E30254010000000000005230823306682",1169164,7335,"Kaiserslautern",1169.164,1169,"733501","Bruchm?hlbach-Miesau"
"77",733304031,67294,"Ilbesheim",500,1998-02-05,"11YR00000001555H",10002992,"E30254010000000000005230837706693",725465,7333,"Donnersbergkreis",1450.93,725,"733304","Kirchheimbolanden"
"78",733304040,67819,"Kriegsfeld",1800,2000-12-21,"11YR00000001555H",10002992,"E30254010000000000005230838106691",3120769,7333,"Donnersbergkreis",1733.76055555556,3121,"733304","Kirchheimbolanden"
"90",733302038,67304,"Kerzenheim",1650,2000-10-19,"11YR00000001555H",10002992,"E30254010000000000005231607403543",1396482,7333,"Donnersbergkreis",846.352727272727,1396,"733302","Eisenberg"
"239",731500000,55129,"Mainz",600,2000-03-03,"11YR00000001258N",10003079,"E31060010000000072131001000100095",712896.69,7315,"Mainz",1188.16115,713,"731500","Mainz"
"241",731500000,55129,"Mainz",600,2000-07-11,"11YR00000001258N",10003079,"E31060010000000072280991000100070",993910.06,7315,"Mainz",1656.51676666667,994,"731500","Mainz"
"242",731500000,55129,"Mainz",600,2000-07-11,"11YR00000001258N",10003079,"E31060010000000072280991000100384",993910.06,7315,"Mainz",1656.51676666667,994,"731500","Mainz"
"247",714302202,57642,"Alpenrod",500,1998-08-07,"11YR000000018725",10001102,"E31102010000000000001008269700001",535739.72,7143,"Westerwald",1071.47944,536,"714302","Hachenburg"
"248",714302202,57642,"Alpenrod",500,1998-08-13,"11YR000000018725",10001102,"E31102010000000000001008269700002",535739.72,7143,"Westerwald",1071.47944,536,"714302","Hachenburg"
"249",714302202,57642,"Alpenrod",600,2000-09-22,"11YR000000018725",10001102,"E31102010000000000001008269700003",630752.03,7143,"Westerwald",1051.25338333333,631,"714302","Hachenburg"
"250",714310060,56244,"Sainerholz",250,1996-08-02,"11YR000000018725",10001102,"E31102010000000000001273647300001",222237,7143,"Westerwald",888.948,222,"714310","Wirges"
