"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"2",733307078,67823,"Unkenbach",1000,2000-08-22,"E30254010000000000005230787201686",1515606,1515.606,1516
"3",733511031,66851,"Oberarnbach",1000,1999-10-27,"E30254010000000000005230787301688",1690809,1690.809,1691
"5",733511031,66851,"Oberarnbach",1000,2000-05-29,"E30254010000000000005230787306704",1690811,1690.811,1691
"7",734003053,66957,"Vinningen",1650,2000-12-06,"E30254010000000000005230787606677",1286882,779.928484848485,1287
"8",733510029,67700,"Niederkirchen",500,2000-11-23,"E30254010000000000005230787721589",898278,1796.556,898
"70",733307008,67806,"Bisterschied",1500,2000-04-10,"E30254010000000000005230822702034",1975377,1316.918,1975
"71",733307008,67806,"Bisterschied",500,1999-11-04,"E30254010000000000005230822707035",742214,1484.428,742
"72",733501203,66894,"Martinshöhe",1000,2000-12-28,"E30254010000000000005230823306682",1169164,1169.164,1169
"77",733304031,67294,"Ilbesheim",500,1998-02-05,"E30254010000000000005230837706693",725465,1450.93,725
"78",733304040,67819,"Kriegsfeld",1800,2000-12-21,"E30254010000000000005230838106691",3120769,1733.76055555556,3121
"90",733302038,67304,"Kerzenheim",1650,2000-10-19,"E30254010000000000005231607403543",1396482,846.352727272727,1396
"239",731500000,55129,"Mainz",600,2000-03-03,"E31060010000000072131001000100095",712896.69,1188.16115,713
"241",731500000,55129,"Mainz",600,2000-07-11,"E31060010000000072280991000100070",993910.06,1656.51676666667,994
"242",731500000,55129,"Mainz",600,2000-07-11,"E31060010000000072280991000100384",993910.06,1656.51676666667,994
"247",714302202,57642,"Alpenrod",500,1998-08-07,"E31102010000000000001008269700001",535739.72,1071.47944,536
"248",714302202,57642,"Alpenrod",500,1998-08-13,"E31102010000000000001008269700002",535739.72,1071.47944,536
"249",714302202,57642,"Alpenrod",600,2000-09-22,"E31102010000000000001008269700003",630752.03,1051.25338333333,631
"250",714310060,56244,"Sainerholz",250,1996-08-02,"E31102010000000000001273647300001",222237,888.948,222
"251",714308220,56244,"Ettinghausen",250,1995-01-16,"E31102010000000000001273901400001",202306,809.224,202
"252",714306295,56479,"Stein-Neukirch",200,1993-11-12,"E31102010000000000001273977400001",194819.88,974.0994,195
"254",714302250,57612,"Kroppach",250,1994-11-29,"E31102010000000000001274253800001",158788.4,635.1536,159
"255",714302225,57612,"Giesenhausen",600,1996-08-27,"E31102010000000000001274255400001",609360,1015.6,609
"256",714301222,56472,"Fehl-Ritzhausen",600,1996-05-13,"E31102010000000000001274308900001",64294.91,107.158183333333,64
"257",714301222,56472,"Fehl-Ritzhausen",500,1996-05-13,"E31102010000000000001274308900002",53579.09,107.15818,54
"258",714301248,57629,"Kirburg",800,1998-07-09,"E31102010000000000001274362300001",930300,1162.875,930
"259",714301280,57629,"Norken",100,1993-11-25,"E31102010000000000001274399200001",71850,718.5,72
"260",714301253,57520,"Langenbach bei Kirburg",150,1991-04-26,"E31102010000000000001274402600001",148635.43,990.902866666667,149
"261",714301253,57520,"Langenbach bei Kirburg",500,1997-09-24,"E31102010000000000001274404200001",740397.5,1480.795,740
"262",714301253,57520,"Langenbach bei Kirburg",600,1995-04-06,"E31102010000000000001274406900001",592103.49,986.83915,592
"263",714301253,57520,"Langenbach bei Kirburg",500,1997-02-25,"E31102010000000000001274407700001",725955,1451.91,726
"264",714301253,57520,"Langenbach bei Kirburg",250,1998-10-26,"E31102010000000000001274409300001",213145,852.58,213
"266",714306291,56479,"Salzburg",250,1996-05-29,"E31102010000000000001274440900001",289110,1156.44,289
