"","X","eeg_nr","leistung_m","inbetrieb_m","gem_m","b_wgs84","l_wgs84","nabe_m","rotor_m","gem","plz","ort","leistung","inbetriebnahme","menge_kwh","nearest","menge_mwh","area_m2","area_km2","kwh_m2","d"
"2",2,"E301610166955AAAD1001086600000000","1500","3.11.2003",7340053,49.152752,7.572352,85,77,731700000,66955,"Pirmasens",1500,"2003-11-03",2932902,530,2933,280900,0.281,10.441,7
"3",3,"E301610166957AAAD1005072700000000","4200","21.8.2020",7340026,49.166144,7.517801,145,150,NA,NA,NA,NA,NA,NA,541,NA,292681,0.293,NA,4
"4",4,"E301610166957AAAD1005073500000000","4200","12.8.2020",7340026,49.162454,7.517678,166,150,NA,NA,NA,NA,NA,NA,541,NA,292681,0.293,NA,4
"5",5,"E30254010000000000000523078730168","1000","2.11.1999",7335031,49.382645,7.601927,915,NA,NA,NA,NA,NA,NA,NA,2965,NA,8791225,8.791,NA,NA
"6",6,"E30254010000000000005230787201686","1000","22.8.2000",7333054,49.729723,7.744057,685,62,733307078,67823,"Unkenbach",1000,"2000-08-22",1515606,328,1516,107584,0.108,14.088,5
"7",7,"E30254010000000000005230787601693","1650","25.7.2001",7340053,49.155613,7.575723,67,66,734003053,66957,"Vinningen",1650,"2001-07-25",1286879,530,1287,280900,0.281,4.581,8
"8",8,"E30254010000000000005230787606677","1650","6.12.2000",7340053,49.149563,7.574961,67,66,734003053,66957,"Vinningen",1650,"2000-12-06",1286882,530,1287,280900,0.281,4.581,8
"9",9,"E30254010000000000005230787721589","500","22.11.2000",7335029,49.55759,7.721143,63,40,733510029,67700,"Niederkirchen",500,"2000-11-23",898278,2976,898,8856576,8.857,0.101,74
"10",10,"E30254010000000000005230788001702","1800","21.9.2001",7332027,49.544163,8.120842,98,70,733207044,67311,"Tiefenthal",1800,"2001-09-21",3254568,386,3255,148996,0.149,21.843,6
"11",11,"E30254010000000000005230788004100","1800","18.9.2001",7332027,49.546709,8.121987,98,70,733207044,67311,"Tiefenthal",1800,"2001-09-19",3112976,386,3113,148996,0.149,20.893,6
"12",12,"E30254010000000000005230788101704","600","11.7.2001",7133003,49.770345,7.796039,65,44,713301030,67824,"Feilbingert",600,"2001-07-09",732484,222,732,49284,0.049,14.863,5
"13",13,"E30254010000000000005230788101705","600","11.7.2001",7133003,49.768817,7.796151,65,44,713301030,67824,"Feilbingert",600,"2001-07-09",732484,222,732,49284,0.049,14.863,5
"14",14,"E30254010000000000005230788104101","600","12.7.2001",7133003,49.770811,7.793545,65,44,713301030,67824,"Feilbingert",600,"2001-07-09",732480,244,732,59536,0.06,12.303,6
"15",15,"E30254010000000000005230788206674","660","6.9.2001",7340216,49.330878,7.491375,76,47,734009216,66894,"Krähenberg",660,"2001-09-06",993959,339,994,114921,0.115,8.649,7
"16",16,"E30254010000000000005230788301708","2000","27.6.2002",7340055,49.319708,7.591083,100,80,734009055,66919,"Weselberg",1800,"2002-06-27",3170562,625,3171,390625,0.391,8.117,8
