"","EEG.Anlagenschluessel","Hersteller.der.Windenergieanlage","Typenbezeichnung","Leistung","Inbetriebnahmedatum.der.Einheit","Gemeindeschluessel","Koordinate..Breitengrad..WGS84.","Koordinate..Laengengrad..WGS84.","Nabenhoehe.der.Windenergieanlage","Rotordurchmesser.der.Windenergieanlage"
"1","E31238010000000000000029577072006","Vestas Deutschland GmbH","V112-3.3MW","3300 ","14.03.2016",7135043,"50,252081","7,239221","119","112"
"2","E31102010000000000001274253800001","Fuhrländer AG","FUH15 G1 D250"," 250","29.11.1994",7143225,"50,694","7,725945","42","30"
"3","E31238010000000000000031719600309","Vestas Deutschland GmbH","V90","2000 ","06.09.2013",7232065,"49,103025","-4,194624","105","90"
"4","E31238010000000000000029577072007","Vestas Deutschland GmbH","V112-3.3MW","3300 ","17.03.2016",7135043,"50,389202","7,238948","119","112"
"5","E31238010000000000000029577072009","Vestas Deutschland GmbH","V112-3.3MW","3300 ","29.03.2016",7135043,"50,246862","7,243275","94","112"
"6","","BRAUN Windturbinen GmbH","Antaris 2,5 kW","3000 ","07.06.2018",7132073,"","","10","3"
"7","E3123801W000000000003160841212100","Vestas Deutschland GmbH","V136","3600 ","02.02.2019",7134082,"49,68639","7,521022","149","136"
"8","E31238010000000000000020589068586","ENERCON GmbH","E-82 E2","2300 ","09.11.2012",7339201,"49,754202","8,280162","138","82"
"9","E3123801W000000000003528601167290","Senvion Deutschland GmbH","SEN 3.2M114","3200 ","24.03.2018",7140014,"50,13803","7,587343","143","114"
"10","E3123801W000000000003160841212099","Vestas Deutschland GmbH","V136","3600 ","31.12.2018",7134082,"49,683209","7,519205","149","136"
"11","E31102010000000000001274404200001","ENERCON GmbH","E-40/5.40"," 500","24.09.1997",7143253,"50,705","7,9496","65","40.3"
"12","E31102010000000000002000249400012","ENERCON GmbH","E-70 E4","2000 ","19.06.2006",7143268,"50,608","7,7597","113.5","71"
"13","E31102010000000000001008269700002","ENERCON GmbH","E-40/5.40"," 500","13.08.1998",7143202,"50,6196","7,8544","65","40.3"
"14","E31102010000000000001008269700003","ENERCON GmbH","E-40/6.44 E1"," 600","22.09.2000",7143202,"50,6208","7,8527","65","44"
"15","E31238010000000000000020589068577","ENERCON GmbH","E-82 E2","2300 ","26.10.2012",7339201,"49,756982","8,287872","138","82"
