"","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","leistung_s","indatum_s","eiccode","bnetznr","menge_kwh","lk_nr","lk_name","flh","menge_mwh","vg_nr","vg_name"
"1","E00035056472000000000000012744409","Fuhrländer AG","FL 250",250,"29.05.1996",7143291,"50","8",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","E301610166955AAAD1001086600000000","GE Renewable Germany GmbH","77 1,5",1500,"03.11.2003",7340053,"49,152752","7,572352",85,77,731700000,66955,"Pirmasens",1500,"2003-11-03","11YR000000038602",10000161,2932902,7317,"Pirmasens",1955.268,2933,731700,"Pirmasens"
"3","E301610166957AAAD1005072700000000","Vestas Deutschland GmbH","V150-4.2 MW",4200,"21.08.2020",7340026,"49,166144","7,517801",145,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","E301610166957AAAD1005073500000000","Vestas Deutschland GmbH","V150-4.2 MW",4200,"12.08.2020",7340026,"49,162454","7,517678",166,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","E30254010000000000000523078730168","DeWind GmbH","D-62",1000,"02.11.1999",7335031,"49,382645","7,601927",91.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","E30254010000000000005230787201686","DeWind GmbH","D6 1000 kW",1000,"22.08.2000",7333054,"49,729723","7,744057",68.5,62,733307078,67823,"Unkenbach",1000,"2000-08-22","11YR00000001555H",10002992,1515606,7333,"Donnersbergkreis",1515.606,1516,733307,"Nordpfälzer Land"
"10","E30254010000000000005230787601693","Vestas Deutschland GmbH","V66",1650,"25.07.2001",7340053,"49,155613","7,575723",67,66,734003053,66957,"Vinningen",1650,"2001-07-25","11YR00000001555H",10002992,1286879,7340,"Südwestpfalz",779.926666666667,1287,734003,"Pirmasens Land"
"11","E30254010000000000005230787606677","Vestas Deutschland GmbH","V66",1650,"06.12.2000",7340053,"49,149563","7,574961",67,66,734003053,66957,"Vinningen",1650,"2000-12-06","11YR00000001555H",10002992,1286882,7340,"Südwestpfalz",779.928484848485,1287,734003,"Pirmasens Land"
"12","E30254010000000000005230787721589","ENERCON GmbH","E-40/5.40",500,"22.11.2000",7335029,"49,55759","7,721143",63,40,733510029,67700,"Niederkirchen",500,"2000-11-23","11YR00000001555H",10002992,898278,7335,"Kaiserslautern",1796.556,898,733510,"Otterbach-Otterberg"
"14","E30254010000000000005230788004100","ENERCON GmbH","E66/18.70-2",1800,"18.09.2001",7332027,"49,544255","8,120705",98,70,733207044,67311,"Tiefenthal",1800,"2001-09-19","11YR00000001555H",10002992,3112976,7332,"Bad Dürkheim",1729.43111111111,3113,733207,"Leiningerland"
"15","E30254010000000000005230788101704","ENERCON GmbH","ENERCON E-40/6.44",600,"11.07.2001",7133003,"49,770345","7,796039",65,44,713301030,67824,"Feilbingert",600,"2001-07-09","11YR00000001555H",10002992,732484,7133,"Bad Kreuznach",1220.80666666667,732,713301,"Bad Kreuznach"
"16","E30254010000000000005230788101705","ENERCON GmbH","E-40/6.44",600,"11.07.2001",7133003,"49,768817","7,796151",65,44,713301030,67824,"Feilbingert",600,"2001-07-09","11YR00000001555H",10002992,732484,7133,"Bad Kreuznach",1220.80666666667,732,713301,"Bad Kreuznach"
"17","E30254010000000000005230788104101","ENERCON GmbH","ENERCON E-40/6.44",600,"12.07.2001",7133003,"49,770811","7,793545",65,44,713301030,67824,"Feilbingert",600,"2001-07-09","11YR00000001555H",10002992,732480,7133,"Bad Kreuznach",1220.8,732,713301,"Bad Kreuznach"
"19","E30254010000000000005230788301708","Vestas Deutschland GmbH","V80",2000,"27.06.2002",7340055,"49,319708","7,591083",100,80,734009055,66919,"Weselberg",1800,"2002-06-27","11YR00000001555H",10002992,3170562,7340,"Südwestpfalz",1761.42333333333,3171,734009,"Thaleischweiler-Wallhalben"
