gemeinde,vg,kreis,datum,nennleist,nabenhoehe,rotor,gesamthoeh,bemerkung,planstd,gem_neu,xcoord,ycoord
Lieg,Cochem,Cochem-Zell,2016/04/06,"3300",149.00,126.00,212.00,WEA 3,am Netz,"713501053",379710.9999736,5556004.99999768
Mörsdorf,Kastellaun,Rhein-Hunsrück-Kreis,2014/11/11,"2400",140.60,116.80,199.00,,am Netz,"714003503",380324,5552644
Höhn,Westerburg,Westerwaldkreis,2016/03/21,"2530",139.00,120.00,199.00,WEA 3 (Hö 4),am Netz,"714309242",430252,5608570
Mörsdorf,Kastellaun,Rhein-Hunsrück-Kreis,2014/12/29,"2400",140.60,116.80,199.00,Mörsdorf Nord (N08),am Netz,"714003503",379855,5552259
Mörsdorf,Kastellaun,Rhein-Hunsrück-Kreis,2015/01/23,"2400",140.60,116.80,199.00,,am Netz,"714003503",380207,5552091
Gebhardshain,Betzdorf-Gebhardshain,Altenkirchen (Ww),2006/01/19,"2300",100.00,94.00,147.00,,am Netz,"713209039",415773.267278984,5620984.88100749
Gebhardshain,Betzdorf-Gebhardshain,Altenkirchen (Ww),2005/01/01,"2300",100.00,94.00,147.00,,am Netz,"713209039",414824.634862062,5621001.36092151
Hoppstädten-Weiersbach,Birkenfeld,Birkenfeld,2003/06/27,"1500",85.00,77.00,123.50,WEA 1,am Netz,"713402042",370417.399055385,5495300.154231
Hoppstädten-Weiersbach,Birkenfeld,Birkenfeld,2003/03/27,"1500",85.00,77.00,123.50,WEA 3,am Netz,"713402042",370885.860877344,5495205.42275227
Hoppstädten-Weiersbach,Birkenfeld,Birkenfeld,2006/08/02,"1500",100.00,77.00,139.00,WEA 5,am Netz,"713402042",370094.111064257,5495272.033051
Hoppstädten-Weiersbach,Birkenfeld,Birkenfeld,1996/12/19,"500",65.00,40.30,85.15,WEA 2,am Netz,"713402042",370298.80864035,5498319.22207105
Mettweiler,Baumholder,Birkenfeld,2000/11/16,"1800",66.80,66.00,100.00,WEA 3,am Netz,"713401054",379392.513052248,5493994.43057532
Mettweiler,Baumholder,Birkenfeld,2003/05/01,"1000",70.50,58.60,99.80,WEA 4,am Netz,"713401054",379061.971172887,5493929.7221262
Mettweiler,Baumholder,Birkenfeld,2003/05/01,"600",78.00,44.00,100.00,WEA 5,am Netz,"713401054",379363.018558205,5494146.34138631
Berschweiler b.Baumholder,Baumholder,Birkenfeld,2004/07/30,"1500",100.00,77.00,139.00,,am Netz,"713401008",374936.085841941,5491925.28783035
Berschweiler b.Baumholder,Baumholder,Birkenfeld,2004/07/30,"1500",85.00,77.00,123.50,,am Netz,"713401008",375198.910160279,5491967.83085327
Berschweiler b.Baumholder,Baumholder,Birkenfeld,2010/06/15,"2500",100.00,100.00,139.00,,am Netz,"713401008",374932.125559311,5492327.64222724
Dienstweiler,Birkenfeld,Birkenfeld,2004/10/29,"2300",105.00,90.00,150.00,WEA 1,am Netz,"713402020",370735.642445346,5499942.89214677
Dienstweiler,Birkenfeld,Birkenfeld,2004/10/29,"2300",105.00,90.00,150.00,WEA 2,am Netz,"713402020",370435.997714207,5500401.55238233
Dienstweiler,Birkenfeld,Birkenfeld,2004/10/29,"2500",105.00,90.00,150.00,WEA 3,am Netz,"713402020",370803.134797803,5500373.1966297
Lieg,Cochem,Cochem-Zell,2016/04/06,"3300",149.00,126.00,212.00,WEA 4,am Netz,"713501053",379774.999980281,5555714.99999826
